Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Micromelum minutum (G. Forst.) Wight & Arn.,Rutaceae,Lunas kahoy,Wounds and cuts,"Root, stem",Stem or root infused with coconut  oil  is applied on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 9
Mikania cordata (Burm.f.) B.L. Rob. ,Asteraceae,Moti-moti,Wounds and cuts,Leaf sap,Leaf sap is applied on to cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 9
Ocimum basilicum L.,Lamiaceae,Sangig,Wounds and cuts,Leaf,Leaf is crushed and applied on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 9
Omalanthus macradenius Pax & Hoffm.,Euphorbiaceae,Banti,Wounds and cuts,Leaf,Leaf is pounded and applied on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 9
Paspalum conjugatum P.J. Bergius,Poaceae,Miligoy,Wounds and cuts,Root,Decocted root is washed on affected parts. ,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 9
Phyllanthus amarus Schumach. & Thonn.,Phyllantaceae,Talikod or Likod-likod,Wounds and cuts,"Fruit, root",Decocted fruit and root are washed on affected parts.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Piper aduncum L. ,Piperaceae,Lunas buyo,Wounds and cuts,Stem,Decocted stem is applied on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Piper decumanum L. ,Piperaceae,Lunas bagon tapol,Wounds and cuts,Stem,Stem infused with coconut oil is applied on to cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Piper nigrum L. ),Piperaceae,Lunas bagon puti (wild),Wounds and cuts,Stem,Stem infused with coconut oil is applied on to cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Pipturus arborescens (Link) C.B. Rob,Urticaceae,Handamay,Wounds and cuts,Bark,Bark is scraped and applied on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Poikilospermum acuminatum (Trecul.) Merr. ,Urticaceae,Hanupi,Wounds and cuts,Root,Decocted root is washed on affected parts.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Premna odorata Blanco,Lamiaceae,Abgaw,Wounds and cuts,Leaf,Leaf is crushed and applied on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Pseudelephantopu s spicatus (Juss.) Rohr,Asteraceae,Kukog banog,Wounds and cuts,Leaf sap,Leaf sap is dropped on affected parts.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Psidium guajava L. ,Myrtaceae,Bayabas,Wounds and cuts,Leaf,Decocted leaf is washed on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Rosa sp.,Rosaceae,Rose (wild),Wounds and cuts,Flower,Flower is infused with hot water and applied on affected parts.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Sida rhombifolia L. ,Malvaceae,Eskuba laki,Wounds and cuts,"Bark, leaf",Decocted leaf and bark  are washed on cuts and wounds.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Tinospora crispa (L.) Hook.f. & Thomson,Menispermaceae,Panyawan,Wounds and cuts,Stem sap,Stem sap is dropped on affected parts.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Urena lobata L. ,Malvaceae,Dupang bae,Wounds and cuts,Whole plant,Burn the whole plant as incense and smolder smoke it around the   affected parts.,,,,"Ethnomedicinal plants usedfor the treatment of cuts and wounds by the Agusan Manobo of Sibagat, Agusan del Sur, Philippines",Page: 10
Hemigraphis colorata,Acanthaceae,Subanen: Kuyanap,Inflammation,Leaves,"Crushed and applied,directly as poultice.",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Justicia gendarussa Burn.f.,Acanthaceae,"Vis: Mandalasan,Subanen: Tuhod,manok/ Mandalusa","Stomach-ache, bloating,fracture Diarrhea",Leaves,"Poultice,Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Acorus verus (L.) Raf.,Acoraceae,Vis: Mandalasan Subanen: Tuhodmanok/ Mandalusa,Toothache,Leaves,Apply directly.,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Mangifera indica L.,Anacardiaceae,Vis:Manga Yakan:Mampalam,"Hyperten-sion, swelling",Leaves,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Spondias purpurea Linn.,Anacardiaceae,Bajau: Sirigwelas,"Cough, fever,Mouth sore, diarrhea
Gum lesions","Leaves,Bark Stem","Decoction,Steam
Scrape and applied directly.",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Annona muricata L.,Annonaceae,"Chav: Sabana, Bajau: Labanos","Hepatitis, diabetes, flatulence,UTI, cancer, hypertension,ulcer
Coughs, fever, colds,headache, nervous,disorders, digestive",Leaves,"Decoction (Boil 7 leaves in a glassful of water, then drink).
Infusion",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Annona muricata L.,Annonaceae,"Subanen:
Labana/Malabanos/Yabana","Hepatitis, diabetes, flatulence,UTI, cancer, hypertension,ulcer
Coughs, fever, colds,headache, nervous,disorders, digestive",Leaves,"Decoction (Boil 7 leaves in a glassful of water, then drink).
Infusion",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Annona muricata L.,Annonaceae,"Subanen:
Labana/Malabanos/Yabana","problems, tuberculosis
Headache, hypertension",Leaves,"Steam, by heating the leaves then apply directly to forehead.",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Annona muricata L.,Annonaceae,"Subanen:
Labana/Malabanos/Yabana","Tetanus, arthritis
Cancer, overall health Cancer","Young
leaves
Fruits Roots","Pound seven leaves and apply around the wound as poultice.
Direct eating.
Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
"Friesodielsa latifolia
(Hook &Thomson) Steeris",Annonaceae,Subanen: Mhemot,Prevents hypertensio,Roots,Wash a small root and chew,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 6
Amaranthus spinosus L.,Amaranthaceae,Kulitis,Antirabies,Roots,Decoction (Boil 1g in 2 glasses of water),,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Amaranthus viridis L.,Amaranthaceae,Subanen: Kadiapa,Fever,Roots,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Allium cepa L,Amaryllidaceae,: Sibuyas Chav: Sibolyon,"Cough, arthritis",Bulb ,Decoction Pounding/poultice ,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Allium sativum L,Amaryllidaceae,Ahos,"Toothache, anti-rabies Hyperten-sion",Cloves,Pound and apply directly Direct chewing or blanched in boiled water for 15min,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Allium schoenoprasum,Amaryllidaceae,Ganda,Poultice,Whole plant,Hyper acidity,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Allium tuberosum,Amaryllidaceae,Ganda,Fever,Whole plan,Poultice,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Eurycles amboinensis,Amaryllidaceae,Abod,"UTI, inflamma-tion","Leaves, root",Poultice (crushed and applied directly),,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Angelica keiskei,Apiaceae ,Asetaba,Use for aching of hips and urinary tract infection. Toothache,Leaves,Decoction Poun,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Centella asiatica,Apiaceae ,Chav: Yahong- yahong Tausug: Panggagah Subanen: Jaong jaon,"Fatigue, sun stroke, colds, and flu Fever, cough Diabetes",Leaves Whole plant,Infusion Decoction Decoction(boil plenty of “jaong jaong” with enough water),,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Daucas carota L.,Apiaceae ,Carrot,Tumor,Leaves ,Decoction ,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Hydrocotyle vulgaris,Apiaceae ,Gotu kola,"Cough, kidney stones",Whole plan,Decoction ,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 7
Alstonia scholaris L,Apocynaceae,Subanen: Malogatas,Kidney diseases Hyper tensio,Bark Trunk,Decoction Infusion (Scrape the outer layer (7x). Add 1/2 glass of water. Drink twice a day for 3 days) Decoction (Scrape the outer layer (7x). Boil the scraped pieces with 3 glasses of water. Drink thrice a day for 3 days),,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
Asclepias curassavica L.,Apocynaceae,Subanen: Gapas gapas,Difficulty in child labor Amoebiasis,"Bark, roots Root",Extraction Decoction (Boil enough roots with ample amount of water. Drink as often as needed,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
Catharantus roseus (L.) G. Don,Apocynaceae,Vis: Kumintang,Diabetes,Leaves,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
Rauvolfia serpentina (L.) Kur,Apocynaceae,Bajau: Pait-pait Subanen: Ampion,"Hyper tension, “kabuhi”
 Stomach ache, diarrhea",Leaves,Decoction Infusion,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
Voacanga megacarpa Merr.,Apocynaceae,Subanen: Thepalak Mebagal," To abate bleeding of a fresh 
wound",Roots," Juice (Pound enough 
roots and squeeze and 
apply the squeezed 
plant material)",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
" Alocasia 
macrorrhizos (L.) 
G.Don",Araceae,asd,Early stage of inflam-mation, Rhi-zome," Slice, pound and apply 
on the affected part",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
 Colocasia esculenta L.,Araceae," Chav: Gabi
 Vis: Badyang"," Scabies
 Bronchitis
 Athlete’s foot", Leaves," Rub the fresh leaves to 
the affected area.
 Decoction
 Poultice",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 8
" Homalomena 
rubescens (Roxb.) 
Kunth",Araceae, Subanen: Phayaw,Colds,Stem,"Slice into pieces, pound, 
and smell often.",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
"Osmoxylon 
diversifolium",Araliaceae ,Subanen: Gulo-ulo," Dysme-norrhea, menno- 
rhagia",Stem," Decoction (Scrape stem 
(7x) down ward. Boil 
with enough water. 
Drink 1/2 glass thrice a 
day for 3 days",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
Panax ginseng,Araliaceae , Bajau: Langkawas, Muscle pain,Fruits, Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
 Calamus sp.,Arecaceae/Palmae,Subanen: Dlebie ," Shingles caused by Herpes 
zoster"," Stem 
Juice"," Cut stem, gather juice, 
and apply on the 
wound often.",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
Cocos nucifera L.,Arecaceae/Palmae," Bajau:Coco
 Tausug: Lahing
 Vis:Butong"," Muscle Pain, wounds in the 
head
 Measles
 Abdominal pain
 Measles
 Detoxifying for urinary tract 
infection.
 Kidney stones"," Fruit Oil
 Flower 
(white)
 Bark
 Flower, 
leaves
 Flesh and 
the 
juice
 Root, bark","Oil Extract
 Infusion for bath
 Decoction
 Steam
 Direct eating and 
drinking
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
 Corypha elata Roxb.,Arecaceae/Palmae,Vis:Buli,Physical relapse,Roots ,Decoction ,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
"Aristolochia 
philippinensis 
Warb.",Aristolochiaceae ,Subanen: Barubo,"“Bughat”, body pains", Leaves ,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
" Cordyline fruticosa 
(L.) A. Chev.",Asparagaceae," Vis: Makilala
 Yakan: Kilale
 Subanen: Guilala","Bloody stools, menstrual 
cramps, dysme-norrhea
 Hyper tension"," Leaves
 Young leaf ","Decoction
 Eat the leaves often until 
needed. ",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 9
 Dracaena trifasciata ,Asparagaceae,Spada ,Tetanus,Leaves ,Direct chewing,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
 Sansevieria spp.,Asparagaceae,Espada-espada, Wound ," Whole 
plant ","Crushed and applied 
directly",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
"Sansevieria 
trifasciata Prain",Asparagaceae,Tigre-tigre, Fever,Leaves,"Infusion  
(in efficas-cent oil)",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
"Aloe barbadensis M. 
(Syn. Aloe vera (L.) 
Burm.f",Asphodelaceae ,Chav: Aloe vera," Wounds, dry hair, inflamma
tion, burns
 Bleeding, ulcer
 Cancer, parasitic worms",Leaves," Extraction
 Scraping
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
Artemisia sp, Asteraceae/Compositae ,Barogbarog,Stomach ache, Leaves,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
Artemisia vulgaris L.  , Asteraceae/Compositae ," Chav:Yerba Sta. 
Maria
 Vis:Herba Buena
 Yakan:Sta. Maria
 Subanen:
 Hilbas"," Coughs and colds, asthma, 
fever, pain relief, ulcer, 
hyper tension, hyper 
acidity
 Menstrual abnorma-lities, 
stomach ache, “panuhot”, 
cough
 Infusion "," Leaves
 Leaves
 Whole 
Plant"," Infusion
 Decoction
 Infusion",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
B. balsamifera (L.) DC, Asteraceae/Compositae ," Chav: Lengua de 
baka
 Bajau: Sambon
 Vis: Gabon
 Tausug: Daklan- 
bulan
 Yakan: Lakad-bulan
 Subanen: Bubulan","Coughs and colds, “pasmo 
sa kusog”, UTI and kidney 
stones, physical relapse, 
hyper tension, measles 
stomach ache, dysmenor
rhea & amenor-rhea
 Post-partum care
 Fever
 High fever, cough, urinary 
tract infection, stomach- 
ache
 Body pain, “panuhot”, aching 
due to “piang”
 Cough
 Bleeding","Leaves
 Leaves
 Leaves
 Leaves
 Leaves
 Leaves
 Roots"," Decoction (drink)
 Decoction (bath)
 Pound the leaves and put 
in the forehead.
 Pound the leaves then 
drink the extract.
 Poultice
 Infusion
 Decoction ",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 10
"Chromolaena 
odorata (L.) R.M 
King & H.Rob", Asteraceae/Compositae ," Vis: Hagonoy
 Tausug: Lahunay
 Yakan: Lahuney
 Subanen: Gunoy
 Subanon: 
Sunggonoy", Wound , Leaves ,Crush and apply directly,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
 Chrysanthemum sp., Asteraceae/Compositae ,Chrysan-themum,Toothache ,Roots ,Direct applica-tion,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
 Emellia sonchiflolia, Asteraceae/Compositae ,Pisaw-pisaw,"Fever, cough
 Constipation, “kabag”
 Cough, colds, and kid’s fever","Leaves
 Leaves
 Leaves"," Decoction
 Pounding
 Extraction (Drink the 
extract)",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
" Pseudelephantopus 
spicatus (B. Juss. 
ex Aubl.) Rohr. ex 
C/F. Baker", Asteraceae/Compositae ," Vis:Dila-dila sa iro
 Vis: Kukug-banog
 Subanen: Kokog 
banog","Hyper acidity, physical 
relapse"," Roots, 
stem, 
and 
leaves", Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
"Sphagneticola 
trilobata  (L.) 
Pruski", Asteraceae/Compositae ,No Data, Toothache ,Leaves, Extract,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
 Spilanthes acmella, Asteraceae/Compositae ,"Subanen: Dilag
dilag",Toothache , Flower ,Applied directly,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
" Tridax procumbens 
Linn", Asteraceae/Compositae ," Subanen: Kanding
kanding",Wound ,Leaves," Crushed and applied 
directly. ",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
 Impatiens balsamina,Balsaminaceae ,"Chav: Kamanti-gue
 Tausug: Saunggah","Inflamma-tion, joint pains
 Urinary tract infection ","Leaves, 
stems
 Leaves 
and 
stem","Extraction
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
Basella alba, Basellaceae , Chav: Alugbati,"Wounds and boils, fever
 Hyper tension"," Leaves
 Leaves"," Pound and apply directly.
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 11
"Brassica rapa subsp. 
Chinensis",Brassicaceae, Pechay, Overall health, Leaves,Cook directly,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
 Begonia sp., Begoniaceae (1), Begonia," Burns, sores", Flower , Poultice,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
Crescentia cujete ,Bignoniaceae , Calabash tree," Diarrhea, colds,
 Bronchitis
 Cough, asthma, urethritis
 Hyper tension"," Fruit
 Fruit
 Fruit
 Leaves"," Direct eating
 Decoction
 Juice Extraction
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
"Oroxylum indicum 
(L.) Benth. ex Kurz",Bignoniaceae , Subanen: Bnenloy," Body pain, fever","Young 
leaves"," Pound enough leaves 
and add little amount 
of water. Put on the 
head or affected area",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
Radermachera sp.,Bignoniaceae ,"Subanen: Phelebo
nayan"," Diabetes, hyper tension, 
cough",Trunk," Decoction (Boil enough 
size with ample amount 
of water. Drink often.)",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
Bixa orellana,Bixaceae," Chav: Atsuetes
 Yakan: Achuete","Nausea, vomiting, fever
 “Ugam” (thrush), cough and 
colds, lean body mass (LBM)"," Leaves
 Leaves & 
roots","Infusion
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
Durio zibethinus Murr.,Bombacaceae ,Durian ,Itchy genitals,Bark ,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
"Carmona retusa 
(Vahl.) Masam. ",Boraginaceae , Tsaang gubat,"Diarrhea, stomach ache",Leaves,Decoction ,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 12
 Cordia dichotoma,Boraginaceae ,Anonang, “Bughat”,Bark," Submerge in hot water 
and drink",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
" Heliotropium 
indicum L.",Boraginaceae , Elepante ,"Physical relapse, wound 
healing","Leaves
 Stem and 
roots ",Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
Ananas comosus,Bromeliaceae ,Pinya,"Hyper tension
 Sprain"," Fruit
 Shoot ","Juice Extraction
 Extraction (Mix with oil 
then apply as poultice)",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
"Opuntia 
cochenillifera",Cactaceae,Busay-busay, Tetanus,Leaves,Grilled,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
Citronella mucronata,Cardiopteridaceae,Citronella,"Dandruff, ringworm",Leaves," Get the extract and mix 
it with coconut oil then 
apply it to affected 
areas ",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
Carica papaya L.,Caricaceae,"Chav: Papaya
 Bajau: Kapaya
 Vis: Kapayas"," Dengue fever, malaria
 LBM, constipation
 Dengue fever","Leaves
 Fruit
 Flowe","Juice Extraction
 Direct eating
 Decoction",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
"Dysphania 
ambrosiaides (L.) 
Mosyakin and 
Clemants", Chenopodiaceae ,Chav: Apasote, “Kabag” (Gas pain),Leaves,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
 Combretaceae, Combretaceae,Niyug-niyogan, Parasitic worms,Seeds,"Direct eating two hours 
after supper",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
 Terminalia cattapa, Combretaceae,Talisay,Sepsis ,Dead leaves, Decoction ,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
"Ipomea aquatica 
Forsk.", Convolvulaceae ,Kangkong," Fever, overall health",Leaves," Decoction and mixed 
with “kayuma-nis” and 
“kambal-simang-ko”",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 13
Ipomoea batatas L.,Convolvulaceae,Chav: Kamote,"Fever, anemia",Leaves,Decoction Cooking,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 14
Jacquemontia paniculata,Convolvulaceae,Himag,Wounds,Roots,"Pounding, mixing",,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 14
Rhoeo spathacea (Swartz) Stearn,Commelinaceae,Kapal-kapal,"Toothache, headache",Leaves and roots,Extract,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 14
Chamaecostus cuspidatus,Costaceae,Insulin plant,"Diabetes, hyper tension",Leaves,Decoction,,,,"Ethnobotany, Systematic Review and Field Mapping on Folkloric Medicinal Plants in the Zamboanga Peninsula, Mindanao, Philippines",Page: 14
